rank,workers,company,state_s,city,metro,growth,revenue,industry,yrs_on_list
2358,216,Green Bancorp,TX,Houston,Houston,164.5856,57042000,Financial Services,1
2359,2000,Admiral Security Services,CA,Concord,San Francisco,164.5294,12851525,Security,1
2360,100,Bahama Buck's,TX,Lubbock,Lubbock TX,164.3637,3179846,Food & Beverage,1
2361,40,Interpreters Unlimited,CA,San Diego,San Diego,164.2817,13584243,Business Products & Services,1
2362,118,Listrak,PA,Lititz,Lancaster PA,164.2587,19001329,Advertising & Marketing,1
2363,98,Element Solutions,IL,Chicago,Chicago,164.241,7749939,IT Services,1
2364,23,1st Web Sales,NE,Aurora,Hastings NE,164.1734,8132537,Retail,1
2365,214,McLean Mortgage,VA,Fairfax,Washington DC,163.9234,37752662,Real Estate,1
2366,142,TekPartners/MedPartners,FL,Coral Springs,Miami,163.8819,109421833,IT Services,7
2367,400,Advanced Discovery,TX,Austin,Austin,163.7885,40733810,Business Products & Services,3
2368,3500,Effex Management Solutions,TX,Kingwood,Houston,163.7202,99996900,Human Resources,1
2369,48,Onsite Health Diagnostics,TX,Irving,Dallas,163.3084,9570562,Health,2
2370,55,Launchpad Advertising,NY,New York,New York City,163.1852,8114000,Advertising & Marketing,3
2371,46,iNET Interactive,OH,West Chester,Cincinnati,163.1206,13951715,Media,7
2372,78,Pragmatic Works,FL,Middleburg,Jacksonville FL,163.0111,11848792,IT Services,1
2373,30,Volume 9,CO,Denver,Denver,162.9742,3675887,Advertising & Marketing,3
2374,49,Higher Logic,VA,Arlington,Washington DC,162.5692,7640500,Software,3
2375,65,Imagine Software,NC,Charlotte,Charlotte,162.4662,12605395,Health,4
2376,8,Paragon Uniform & Apparel,NY,White Plains,New York City,162.4651,2711167,Retail,1
2377,1006,Diplomat Specialty Pharmacy,MI,Flint,Flint MI,162.3408,1515139000,Health,6
2378,162,LeafFilter North,OH,Hudson,Akron OH,162.1452,50420165,Construction,3
2379,53,DiMassimo Goldstein,NY,New York,New York City,161.9588,30615918,Advertising & Marketing,1
2380,268,NZR Retail of Toledo,OH,Toledo,Toledo OH,161.9483,78482744,Energy,1
2381,23,Viridian,AR,Little Rock,Little Rock-North Little Rock-Conway AR,161.887,2646695,Energy,1
2382,235,3D Corporate Solutions,MO,Monett,,161.7922,265117000,Food & Beverage,3
2383,130,Royal Truck Body,CA,Paramount,Los Angeles,161.7273,18938622,Manufacturing,1
2384,6,SOAR Performance Group,GA,Atlanta,Atlanta,161.6879,2240064,Business Products & Services,1
2385,42,TrackVia,CO,Denver,Denver,161.6469,3334148,Software,2
2386,13,BIS Global,VA,McLean,Washington DC,161.6399,2660399,IT Services,1
2387,130,Wyndham Capital Mortgage,NC,Charlotte,Charlotte,161.4634,30516466,Financial Services,2
2388,141,TissueTech,FL,Miami,Miami,161.4219,28345615,Health,1
2389,222,AB Staffing Solutions,AZ,Gilbert,,161.3753,31054000,Government Services,3
2390,38,CMX Technologies,VA,Reston,Washington DC,161.2833,7426136,Government Services,4
2391,85,Double O Supply & Craftsmen,MI,Byron Center,Allegan MI,161.0709,5104400,Construction,1
2392,622,Conservice,UT,Logan,Logan UT-ID,160.9116,54558307,Real Estate,7
2393,199,AmeriQuest Business Services,NJ,Cherry Hill,Philadelphia,160.8724,1052691617,Business Products & Services,8
2394,300,WebRunners,MI,Southfield,Detroit,160.8717,35063620,IT Services,8
2395,30,PRK Drilling & Blasting,VA,Winchester,Winchester VA-WV,160.8019,6557854,Construction,2
2396,25,Expect Payment Solutions,WA,Vancouver,Portland OR,160.6651,2419233,Financial Services,1
2397,84,RevGen Partners,CO,Centennial,Denver,160.64,12012074,Business Products & Services,3
2398,10,Propio Language Services,KS,Lenexa,Kansas City MO-KS,160.6279,2668692,Business Products & Services,2
2399,51,Fuzz,NY,Brooklyn,New York City,160.6025,6460313,Software,2
2400,31,I Color Printing & Mailing,CA,Los Angeles,Los Angeles,160.5418,5631987,Business Products & Services,2
2401,831,Paycom,OK,Oklahoma City,Oklahoma City OK,160.5288,107601000,Human Resources,9
2402,75,Denny Mountain Media,WA,Seattle,Seattle,160.4709,8787826,Advertising & Marketing,2
2403,15,GXA Network Solutions,TX,Richardson,Dallas,160.3928,2247656,IT Services,1
2404,285,Ampcus,VA,Chantilly,Washington DC,160.0053,25240274,Government Services,5
2405,32,Nina Hale,MN,Minneapolis,Minneapolis,159.9473,4809425,Advertising & Marketing,2
2406,150,Futura Mobility,PA,Fort Washington,Philadelphia,159.8598,27790087,IT Services,8
2407,40,WellnessMats,MI,Troy,Detroit,159.7878,7321686,Consumer Products & Services,1
2408,25,Consumer Real Estate Finance Co.,FL,Fort Lauderdale,Miami,159.6946,2865816,Financial Services,1
2409,69,SplendTek,MD,Windsor Mill,Baltimore,159.6754,2879764,IT Services,1
2410,42,Private Jet Services Group,NH,Seabrook,Boston,159.525,42314097,Travel & Hospitality,1
2411,150,UNSI,TX,Carrollton,Dallas,159.4854,49720000,Telecommunications,2
